time,remaining_qty,slice_qty,mid_now,best_bid,best_ask,spread_ticks,imbalance,vol_ema,time_ratio,fill_ratio,schedule_error,ml_ready,ml_predicted_move,ml_urgency,ml_triggered,forced_ioc,skip,raw_action,final_action,ml_horizon_ms,ml_threshold
1767514500000,3865,11,913124,913124,913125,1,-0.166562,1.25646,0.477679,0.447857,0.0298214,1,38.2079,38.2079,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767515400000,3854,11,912296,912296,912297,1,-0.00127714,0.194105,0.479167,0.449429,0.0297381,1,35.1603,35.1603,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767516300000,3843,11,913999,913999,914000,1,0.196112,0.253514,0.480655,0.451,0.0296548,1,33.4381,33.4381,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767517200000,3832,11,913679,913679,913680,1,-0.37961,0.0474744,0.482143,0.452571,0.0295714,1,36.9295,36.9295,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767518100000,3821,11,913375,913375,913376,1,0.513836,0.896907,0.483631,0.454143,0.0294881,1,29.925,29.925,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767519000000,3810,11,913161,913161,913162,1,-0.306088,0.125229,0.485119,0.455714,0.0294048,1,35.0447,35.0447,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767519900000,3799,11,914339,914339,914340,1,0.223684,0.00506147,0.486607,0.457286,0.0293214,1,32.538,32.538,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767520800000,3788,11,914594,914594,914595,1,-0.669085,7.99968e-05,0.488095,0.458857,0.0292381,1,38.7138,38.7138,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767521700000,3777,11,915401,915401,915402,1,0.0690282,0.00113284,0.489583,0.460429,0.0291548,1,33.2271,33.2271,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767522600000,3766,11,914833,914833,914834,1,0.248889,2.32495,0.491071,0.462,0.0290714,1,32.933,32.933,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
