time,bid,ask,mid,spread,microprice,bid_depth,ask_depth,imbalance,mm_bid_queue,mm_ask_queue
1767740733597,934670,934671,934670,1,934671,1108,364,0.505435,-1,-1
1767740745597,934317,934318,934317,1,934318,1093,603,0.288915,-1,-1
1767740757597,934207,934208,934207,1,934207,744,1140,-0.210191,-1,-1
1767740769597,934442,934443,934442,1,934443,1697,292,0.706385,-1,-1
1767740781597,934442,934443,934442,1,934443,1380,596,0.396761,-1,-1
1767740793597,934374,934375,934374,1,934375,908,470,0.317852,-1,-1
1767740805797,934438,934439,934438,1,934439,2084,312,0.739566,-1,-1
1767740817998,934417,934418,934417,1,934418,1819,320,0.700795,-1,-1
1767740829997,934670,934671,934670,1,934670,579,1108,-0.313574,-1,-1
1767740841997,934637,934638,934637,1,934637,987,1053,-0.0323529,-1,-1
1767740853998,934483,934484,934483,1,934484,832,822,0.00604595,-1,-1
1767740865997,934461,934462,934461,1,934462,1184,676,0.273118,-1,-1
1767740877997,934774,934775,934774,1,934774,535,881,-0.24435,-1,-1
1767740889997,935000,935084,935042,84,935076,1714,175,0.814717,-1,-1
1767740901998,935145,935146,935145,1,935146,1673,940,0.28052,-1,-1
1767740913997,934890,934891,934890,1,934891,755,640,0.0824373,-1,-1
1767740925998,935067,935068,935067,1,935068,925,812,0.0650547,-1,-1
1767740937997,935140,935141,935140,1,935141,902,368,0.420472,-1,-1
1767740949997,935110,935111,935110,1,935111,1374,475,0.486209,-1,-1
1767740961997,935144,935145,935144,1,935145,962,371,0.443361,-1,-1
1767740973997,935144,935145,935144,1,935145,806,711,0.0626236,-1,-1
1767740985997,935181,935182,935181,1,935182,1396,228,0.719212,-1,-1
1767740998197,934918,934919,934918,1,934919,950,534,0.280323,-1,-1
1767741010197,935491,935492,935491,1,935492,1864,154,0.847374,-1,-1
1767741022198,935499,935500,935499,1,935500,1686,783,0.365735,-1,-1
1767741034197,935350,935351,935350,1,935351,1003,295,0.545455,-1,-1
1767741046598,935446,935447,935446,1,935447,1216,564,0.366292,-1,-1
1767741058597,935038,935039,935038,1,935039,1106,565,0.323758,-1,-1
1767741070597,935146,935147,935146,1,935147,1338,750,0.281609,-1,-1
1767741082597,935281,935282,935281,1,935281,398,882,-0.378125,-1,-1
1767741094798,935193,935194,935193,1,935194,1703,258,0.736869,-1,-1
1767741106797,935006,935007,935006,1,935007,965,584,0.245965,-1,-1
1767741118798,935006,935007,935006,1,935007,894,771,0.0738739,-1,-1
1767741130797,935031,935032,935031,1,935032,719,682,0.0264097,-1,-1
1767741142797,934602,934603,934602,1,934602,816,839,-0.0138973,-1,-1
1767741154797,934601,934602,934601,1,934602,1068,610,0.272944,-1,-1
1767741166798,934727,934728,934727,1,934728,1078,431,0.428761,-1,-1
1767741178797,934742,934743,934742,1,934742,572,860,-0.201117,-1,-1
